Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context,,,
1d7882ab4aa71258afb5309b0a7f0c044222677446edbc1a25ac06503c3491bb,2019-04,Cleveland Police,Cleveland Police,-1.21915,54.688457,On or near Murray Street,E01011973,Hartlepool 005A,Burglary,Court result unavailable,,,,
a98e089f36e4b7cca3bfa3240647c8f8c50652b3b6c72348915d5594058cab3f,2019-04,Cleveland Police,Cleveland Police,-1.217327,54.688095,On or near Dent Street,E01011973,Hartlepool 005A,Burglary,Offender given suspended prison sentence,,,,
2d5413c325b4718bd77f5609cf6061182a6edd88fd5cb0daa3c31335f5804121,2019-04,Cleveland Police,Cleveland Police,-1.2174,54.689929,On or near Raby Road,E01011973,Hartlepool 005A,Burglary,Unable to prosecute suspect,,,,
e2d23ab650d9e90347029fb3585aa98a0f6d23558555cece733d2678be3c7131,2019-04,Cleveland Police,Cleveland Police,-1.211347,54.686079,On or near Stockton Street,E01011974,Hartlepool 005B,Burglary,Court result unavailable,,,,
932b3e6c758e8a94fa64a3962aaef37b17b190e09e331ea4c6409202bce0f2b7,2019-04,Cleveland Police,Cleveland Police,-1.205239,54.693049,On or near Middleton Road,E01011974,Hartlepool 005B,Burglary,Investigation complete; no suspect identified,,,,
925cf296943bac34348f606e9d3a9120c5d1b74c781c2e1acfa3679c8e555ccd,2019-04,Cleveland Police,Cleveland Police,-1.216018,54.686757,On or near Errol Street,E01011974,Hartlepool 005B,Burglary,Investigation complete; no suspect identified,,,,
22830ccaa8c15a6e0a97c223230f62c3a0b7c699b9abff322b5026367a23d66d,2019-04,Cleveland Police,Cleveland Police,-1.218131,54.686591,On or near Elliott Street,E01011974,Hartlepool 005B,Burglary,Unable to prosecute suspect,,,,
93652cf8476c76286a68c770c7f9d16fe23a8384c276296c7debc1f9cb2babc7,2019-04,Cleveland Police,Cleveland Police,-1.215993,54.687296,On or near Wharton Street,E01011974,Hartlepool 005B,Burglary,Unable to prosecute suspect,,,,
3bc03877001d7f7e53010ae40db1f075e168e3004b5f05217a38da266ea46657,2019-04,Cleveland Police,Cleveland Police,-1.216707,54.687255,On or near York Road,E01011974,Hartlepool 005B,Burglary,Investigation complete; no suspect identified,,,,
9b6aa949aabd9032541cee180725689fd010532156d1464e1d88bc225fdc525e,2019-04,Cleveland Police,Cleveland Police,-1.214039,54.690446,On or near Lansbury Grove,E01011974,Hartlepool 005B,Burglary,Investigation complete; no suspect identified,,,,
962d14778db28681eabc6c3fe551403cea11b808dcd1502016691c8f4b040af5,2019-04,Cleveland Police,Cleveland Police,-1.22786,54.688927,On or near Harcourt Street,E01011976,Hartlepool 005D,Burglary,Investigation complete; no suspect identified,,,,
